date time   CPU %user %nice %system %iowait %steal %idle
2019-07-14 21:37:37   all 2.04 0.00 2.81 0.00 0.00 95.15
2019-07-14 21:37:38   all 8.10 0.00 1.77 0.00 0.00 90.13
2019-07-14 21:37:39   all 5.63 0.00 3.84 0.26 0.00 90.28
2019-07-14 21:37:40   all 2.29 0.00 2.04 0.00 0.00 95.67
2019-07-14 21:37:41   all 3.79 0.00 2.27 0.00 0.00 93.94
2019-07-14 21:37:42   all 3.83 0.00 5.36 0.00 0.00 90.82
2019-07-14 21:37:43   all 4.31 0.00 2.03 0.00 0.00 93.65
2019-07-14 21:37:44   all 7.98 0.00 3.24 0.00 0.00 88.78
2019-07-14 21:37:45   all 2.31 0.00 1.54 0.00 0.00 96.14
2019-07-14 21:37:46   all 3.74 0.00 3.24 0.00 0.00 93.02
2019-07-14 21:37:47   all 4.82 0.00 1.78 3.55 0.00 89.85
2019-07-14 21:37:48   all 4.81 0.00 2.53 0.00 0.00 92.66
2019-07-14 21:37:49   all 3.32 0.00 1.53 0.00 0.00 95.15
2019-07-14 21:37:50   all 2.56 0.00 2.56 0.00 0.00 94.88
2019-07-14 21:37:51   all 5.47 0.00 2.74 0.25 0.00 91.54
2019-07-14 21:37:52   all 3.32 0.00 1.79 0.00 0.00 94.88
2019-07-14 21:37:53   all 2.81 0.00 2.81 0.00 0.00 94.39
2019-07-14 21:37:54   all 9.18 0.00 2.98 0.00 0.00 87.84
2019-07-14 21:37:55   all 3.30 0.00 2.03 0.00 0.00 94.67
2019-07-14 21:37:56   all 3.75 0.00 3.50 0.00 0.00 92.75
2019-07-14 21:37:57   all 3.05 0.00 2.54 0.00 0.00 94.42
2019-07-14 21:37:58   all 4.08 0.00 4.59 0.00 0.00 91.33
2019-07-14 21:37:59   all 6.58 0.00 2.78 0.00 0.00 90.63
2019-07-14 21:38:00   all 13.49 0.00 5.60 0.00 0.00 80.92
2019-07-14 21:38:01   all 11.99 0.00 5.10 2.04 0.00 80.87
2019-07-14 21:38:02   all 30.81 0.00 4.80 3.54 0.00 60.86
2019-07-14 21:38:03   all 60.10 0.00 2.27 1.01 0.00 36.62
2019-07-14 21:38:04   all 15.78 0.00 5.09 0.51 0.00 78.63
2019-07-14 21:38:05   all 3.05 0.00 2.80 0.00 0.00 94.15
2019-07-14 21:38:06   all 3.59 0.00 2.05 0.00 0.00 94.36
2019-07-14 21:38:07   all 2.05 0.00 2.30 1.28 0.00 94.37
2019-07-14 21:38:08   all 5.09 0.00 2.54 0.00 0.00 92.37
2019-07-14 21:38:09   all 5.61 0.00 2.55 0.00 0.00 91.84
2019-07-14 21:38:10   all 3.04 0.00 2.78 0.00 0.00 94.18
2019-07-14 21:38:11   all 7.50 0.00 3.25 0.00 0.00 89.25
2019-07-14 21:38:12   all 3.56 0.00 2.29 0.00 0.00 94.15
2019-07-14 21:38:13   all 3.55 0.00 1.52 0.00 0.00 94.92
2019-07-14 21:38:14   all 11.90 0.00 5.06 1.01 0.00 82.03
2019-07-14 21:38:15   all 31.65 0.00 6.58 3.04 0.00 58.73
2019-07-14 21:38:16   all 39.03 0.00 4.34 2.30 0.00 54.34
2019-07-14 21:38:17   all 40.40 0.00 9.73 2.99 0.00 46.88
2019-07-14 21:38:18   all 49.14 0.00 3.21 1.23 0.00 46.42
2019-07-14 21:38:19   all 75.38 0.00 3.77 0.50 0.00 20.35
2019-07-14 21:38:20   all 69.92 0.00 2.76 0.50 0.00 26.82
2019-07-14 21:38:21   all 47.24 0.00 10.30 0.25 0.00 42.21
2019-07-14 21:38:22   all 44.72 0.00 3.77 1.01 0.00 50.50
2019-07-14 21:38:23   all 38.99 0.00 2.78 1.01 0.00 57.22
2019-07-14 21:38:24   all 63.98 0.00 3.02 0.00 0.00 33.00
2019-07-14 21:38:25   all 66.83 0.00 3.77 0.00 0.00 29.40
2019-07-14 21:38:26   all 56.23 0.00 3.31 0.25 0.00 40.20
2019-07-14 21:38:27   all 30.81 0.00 3.54 1.01 0.00 64.65
2019-07-14 21:38:28   all 42.79 0.00 5.47 0.50 0.00 51.24
2019-07-14 21:38:29   all 40.71 0.00 9.16 0.00 0.00 50.13
2019-07-14 21:38:30   all 13.43 0.00 5.22 0.50 0.00 80.85
2019-07-14 21:38:31   all 14.54 0.00 7.65 1.02 0.00 76.79
2019-07-14 21:38:32   all 16.17 0.00 5.72 0.00 0.00 78.11
2019-07-14 21:38:33   all 10.94 0.00 3.05 0.00 0.00 86.01
2019-07-14 21:38:35   all 8.40 0.00 7.12 0.00 0.00 84.48
2019-07-14 21:38:36   all 6.05 0.00 3.27 0.00 0.00 90.68
2019-07-14 21:38:37   all 4.25 0.00 4.00 0.25 0.00 91.50
2019-07-14 21:38:38   all 8.04 0.00 4.02 0.00 0.00 87.94
2019-07-14 21:38:39   all 3.33 0.00 3.08 0.00 0.00 93.59
2019-07-14 21:38:40   all 4.35 0.00 3.32 1.02 0.00 91.30
2019-07-14 21:38:41   all 3.82 0.00 2.54 0.00 0.00 93.64
2019-07-14 21:38:42   all 9.74 0.00 4.10 0.00 0.00 86.15
2019-07-14 21:38:43   all 5.56 0.00 2.12 0.00 0.00 92.33
2019-07-14 21:38:44   all 4.60 0.00 2.56 0.00 0.00 92.84
2019-07-14 21:38:45   all 3.29 0.00 2.78 0.00 0.00 93.92
2019-07-14 21:38:46   all 5.08 0.00 2.54 0.00 0.00 92.39
2019-07-14 21:38:47   all 29.40 0.00 7.29 0.00 0.00 63.32
2019-07-14 21:38:48   all 57.39 0.00 3.76 0.00 0.00 38.85
2019-07-14 21:38:49   all 25.00 0.00 4.25 0.25 0.00 70.50
2019-07-14 21:38:50   all 4.48 0.00 3.48 0.00 0.00 92.04
2019-07-14 21:38:51   all 6.78 0.00 3.52 0.00 0.00 89.70
2019-07-14 21:38:52   all 3.01 0.00 3.51 1.00 0.00 92.48
2019-07-14 21:38:53   all 4.56 0.00 1.52 0.00 0.00 93.92
2019-07-14 21:38:54   all 3.52 0.00 3.77 0.00 0.00 92.71
2019-07-14 21:38:55   all 2.81 0.00 2.56 0.00 0.00 94.63
2019-07-14 21:38:56   all 3.79 0.00 2.78 0.00 0.00 93.43
2019-07-14 21:38:57   all 3.83 0.00 1.79 0.26 0.00 94.13
2019-07-14 21:38:58   all 7.36 0.00 2.03 0.00 0.00 90.61
2019-07-14 21:38:59   all 14.75 0.00 4.00 0.00 0.00 81.25
2019-07-14 21:39:00   all 40.00 0.00 4.56 0.00 0.00 55.44
2019-07-14 21:39:01   all 58.54 0.00 3.02 0.00 0.00 38.44
2019-07-14 21:39:02   all 45.32 0.00 8.35 0.00 0.00 46.33
2019-07-14 21:39:03   all 76.85 0.00 5.17 0.00 0.00 17.98
2019-07-14 21:39:04   all 63.33 0.00 4.65 0.00 0.00 32.03
2019-07-14 21:39:05   all 46.98 0.00 9.30 0.00 0.00 43.72
2019-07-14 21:39:06   all 76.49 0.00 5.69 0.00 0.00 17.82
2019-07-14 21:39:07   all 69.65 0.00 3.98 0.25 0.00 26.12
2019-07-14 21:39:08   all 57.83 0.00 3.03 0.00 0.00 39.14
2019-07-14 21:39:09   all 73.32 0.00 2.74 0.00 0.00 23.94
2019-07-14 21:39:10   all 59.55 0.00 3.97 0.00 0.00 36.48
2019-07-14 21:39:11   all 52.93 0.00 3.56 0.00 0.00 43.51
2019-07-14 21:39:12   all 60.25 0.00 4.81 0.76 0.00 34.18
2019-07-14 21:39:13   all 49.51 0.00 5.10 0.24 0.00 45.15
2019-07-14 21:39:14   all 19.31 0.00 5.20 0.00 0.00 75.50
2019-07-14 21:39:15   all 12.11 0.00 3.61 1.55 0.00 82.73
2019-07-14 21:39:16   all 36.90 0.00 4.07 0.00 0.00 59.03
2019-07-14 21:39:17   all 14.80 0.00 2.55 0.00 0.00 82.65
2019-07-14 21:39:18   all 8.04 0.00 4.02 0.00 0.00 87.94
2019-07-14 21:39:19   all 6.11 0.00 2.80 0.00 0.00 91.09
2019-07-14 21:39:20   all 7.34 0.00 3.29 0.00 0.00 89.37
2019-07-14 21:39:21   all 4.07 0.00 3.82 1.27 0.00 90.84
2019-07-14 21:39:22   all 6.78 0.00 4.52 0.00 0.00 88.69
2019-07-14 21:39:23   all 9.21 0.00 2.56 0.00 0.00 88.24
2019-07-14 21:39:24   all 7.93 0.00 3.07 0.00 0.00 89.00
2019-07-14 21:39:25   all 4.39 0.00 1.55 0.00 0.00 94.06
2019-07-14 21:39:26   all 4.36 0.00 2.82 0.00 0.00 92.82
2019-07-14 21:39:27   all 10.29 0.00 4.90 0.00 0.00 84.80
2019-07-14 21:39:28   all 9.49 0.00 2.56 0.00 0.00 87.95
2019-07-14 21:39:29   all 4.06 0.00 3.05 0.00 0.00 92.89
2019-07-14 21:39:30   all 7.87 0.00 2.03 0.00 0.00 90.10
2019-07-14 21:39:31   all 7.79 0.00 4.02 0.00 0.00 88.19
2019-07-14 21:39:32   all 4.09 0.00 3.07 0.26 0.00 92.58
2019-07-14 21:39:33   all 4.07 0.00 2.29 0.00 0.00 93.64
2019-07-14 21:39:34   all 5.04 0.00 1.51 0.00 0.00 93.45
2019-07-14 21:39:35   all 4.01 0.00 2.51 0.00 0.00 93.48
2019-07-14 21:39:36   all 5.64 0.00 2.82 0.00 0.00 91.54
2019-07-14 21:39:37   all 7.67 0.00 2.56 0.00 0.00 89.77
2019-07-14 21:39:38   all 5.60 0.00 2.54 0.00 0.00 91.86
2019-07-14 21:39:39   all 6.03 0.00 3.27 0.00 0.00 90.70
2019-07-14 21:39:40   all 4.80 0.00 3.03 0.00 0.00 92.17
2019-07-14 21:39:42   all 8.14 0.00 2.54 0.00 0.00 89.31
2019-07-14 21:39:43   all 4.62 0.00 2.31 0.00 0.00 93.08
2019-07-14 21:39:44   all 7.83 0.00 4.29 0.25 0.00 87.63
2019-07-14 21:39:45   all 6.60 0.00 3.05 0.00 0.00 90.36
2019-07-14 21:39:46   all 7.07 0.00 2.78 0.00 0.00 90.15
2019-07-14 21:39:47   all 3.04 0.00 3.04 0.00 0.00 93.92
2019-07-14 21:39:48   all 4.04 0.00 2.27 0.00 0.00 93.69
2019-07-14 21:39:49   all 3.37 0.00 1.30 1.04 0.00 94.30
2019-07-14 21:39:50   all 2.84 0.00 1.55 0.00 0.00 95.62
2019-07-14 21:39:51   all 2.84 0.00 1.81 0.00 0.00 95.35
2019-07-14 21:39:52   all 2.77 0.00 3.53 0.00 0.00 93.70
2019-07-14 21:39:53   all 3.05 0.00 3.30 0.00 0.00 93.65
2019-07-14 21:39:54   all 7.36 0.00 2.28 0.00 0.00 90.36
2019-07-14 21:39:55   all 3.83 0.00 3.57 0.00 0.00 92.60
2019-07-14 21:39:56   all 4.85 0.00 2.81 0.26 0.00 92.09
2019-07-14 21:39:57   all 2.78 0.00 3.29 0.00 0.00 93.92
2019-07-14 21:39:58   all 4.77 0.00 3.27 0.00 0.00 91.96
2019-07-14 21:39:59   all 3.50 0.00 3.75 0.00 0.00 92.75
2019-07-14 21:40:00   all 5.78 0.00 2.26 0.00 0.00 91.96
2019-07-14 21:40:01   all 4.62 0.00 2.56 0.00 0.00 92.82
2019-07-14 21:40:02   all 12.06 0.00 2.76 0.00 0.00 85.18
2019-07-14 21:40:03   all 25.38 0.00 4.31 0.00 0.00 70.30
2019-07-14 21:40:04   all 51.87 0.00 2.99 0.00 0.00 45.14
2019-07-14 21:40:05   all 37.16 0.00 4.74 0.00 0.00 58.10
2019-07-14 21:40:06   all 2.80 0.00 2.80 0.00 0.00 94.40
2019-07-14 21:40:07   all 2.56 0.00 2.05 0.00 0.00 95.38
2019-07-14 21:40:08   all 4.83 0.00 1.53 1.27 0.00 92.37
2019-07-14 21:40:09   all 3.82 0.00 2.04 0.00 0.00 94.15
2019-07-14 21:40:10   all 6.60 0.00 2.79 0.00 0.00 90.61
2019-07-14 21:40:11   all 2.28 0.00 3.30 0.00 0.00 94.42
2019-07-14 21:40:12   all 4.44 0.00 1.31 0.00 0.00 94.26
2019-07-14 21:40:13   all 5.08 0.00 3.81 0.00 0.00 91.12
2019-07-14 21:40:14   all 3.30 0.00 2.03 0.00 0.00 94.67
2019-07-14 21:40:15   all 10.30 0.00 3.02 0.00 0.00 86.68
2019-07-14 21:40:16   all 41.96 0.00 6.53 0.00 0.00 51.51
2019-07-14 21:40:17   all 55.06 0.00 2.96 0.00 0.00 41.98
2019-07-14 21:40:18   all 52.25 0.00 15.00 0.00 0.00 32.75
2019-07-14 21:40:19   all 69.29 0.00 5.33 0.00 0.00 25.38
2019-07-14 21:40:20   all 85.29 0.00 6.86 0.00 0.00 7.84
2019-07-14 21:40:21   all 74.62 0.00 4.31 0.00 0.00 21.07
2019-07-14 21:40:22   all 47.50 0.00 8.50 0.00 0.00 44.00
2019-07-14 21:40:23   all 51.28 0.00 8.16 0.26 0.00 40.31
2019-07-14 21:40:24   all 44.44 0.00 3.62 0.00 0.00 51.94
2019-07-14 21:40:25   all 67.60 0.00 4.08 0.00 0.00 28.32
2019-07-14 21:40:26   all 64.57 0.00 4.02 0.00 0.00 31.41
2019-07-14 21:40:27   all 41.88 0.00 2.79 0.00 0.00 55.33
2019-07-14 21:40:28   all 49.38 0.00 8.19 0.25 0.00 42.18
2019-07-14 21:40:29   all 40.81 0.00 4.28 0.25 0.00 54.66
2019-07-14 21:40:30   all 29.52 0.00 3.05 0.25 0.00 67.18
2019-07-14 21:40:31   all 6.67 0.00 4.62 0.00 0.00 88.72
2019-07-14 21:40:32   all 5.05 0.00 3.03 0.00 0.00 91.92
2019-07-14 21:40:33   all 5.53 0.00 7.04 0.50 0.00 86.93
2019-07-14 21:40:34   all 6.05 0.00 3.02 0.00 0.00 90.93
2019-07-14 21:40:35   all 5.87 0.00 2.04 0.00 0.00 92.09
2019-07-14 21:40:36   all 6.19 0.00 1.80 0.26 0.00 91.75
2019-07-14 21:40:37   all 4.30 0.00 3.04 0.00 0.00 92.66
2019-07-14 21:40:38   all 5.38 0.00 2.56 0.00 0.00 92.05
2019-07-14 21:40:39   all 20.10 0.00 5.34 0.51 0.00 74.05
2019-07-14 21:40:40   all 9.64 0.00 2.79 0.00 0.00 87.56
2019-07-14 21:40:41   all 2.80 0.00 2.80 0.00 0.00 94.40
2019-07-14 21:40:42   all 3.30 0.00 3.05 0.00 0.00 93.65
2019-07-14 21:40:43   all 4.88 0.00 2.57 0.00 0.00 92.54
2019-07-14 21:40:44   all 7.04 0.00 1.51 0.00 0.00 91.46
2019-07-14 21:40:45   all 5.84 0.00 2.28 0.25 0.00 91.62
2019-07-14 21:40:46   all 9.07 0.00 4.41 0.00 0.00 86.52
2019-07-14 21:40:47   all 3.80 0.00 2.53 0.00 0.00 93.67
2019-07-14 21:40:48   all 3.56 0.00 3.05 0.00 0.00 93.38
2019-07-14 21:40:49   all 3.80 0.00 2.78 0.00 0.00 93.42
