date time   IFACE rxpck/s txpck/s rxkB/s txkB/s rxcmp/s txcmp/s rxmcst/s %ifutil
2019-07-14 21:37:37   eth0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:37:37   lo 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:37:38   eth0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:37:38   lo 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:37:39   eth0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:37:39   lo 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:37:40   eth0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:37:40   lo 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:37:41   eth0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:37:41   lo 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:37:42   eth0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:37:42   lo 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:37:43   eth0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:37:43   lo 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:37:44   eth0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:37:44   lo 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:37:45   eth0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:37:45   lo 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:37:46   eth0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:37:46   lo 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:37:47   eth0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:37:47   lo 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:37:48   eth0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:37:48   lo 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:37:49   eth0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:37:49   lo 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:37:50   eth0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:37:50   lo 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:37:51   eth0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:37:51   lo 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:37:52   eth0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:37:52   lo 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:37:53   eth0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:37:53   lo 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:37:54   eth0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:37:54   lo 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:37:55   eth0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:37:55   lo 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:37:56   eth0 0.99 0.00 0.18 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:37:56   lo 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:37:57   eth0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:37:57   lo 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:37:58   eth0 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
2019-07-14 21:37:58   lo 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
