date time   kbmemfree kbavail kbmemused %memused kbbuffers kbcached kbcommit %commit kbactive kbinact kbdirty
2019-07-14 21:37:37   1065060 2061196 15240488 93.47 367732 2029440 30256192 91.79 8640884 1800072 532
2019-07-14 21:37:38   1065380 2061520 15240168 93.47 367732 2029444 30256192 91.79 8640572 1799724 540
2019-07-14 21:37:39   1067656 2063776 15237892 93.45 367756 2026748 30256192 91.79 8640796 1797012 544
2019-07-14 21:37:40   1068160 2064332 15237388 93.45 367756 2026800 30256192 91.79 8640724 1797028 588
2019-07-14 21:37:41   1068480 2064652 15237068 93.45 367756 2026560 30256192 91.79 8640932 1796780 584
2019-07-14 21:37:42   1068656 2064832 15236892 93.45 367756 2026388 30256192 91.79 8641044 1796600 588
2019-07-14 21:37:43   1068624 2064804 15236924 93.45 367756 2026392 30256192 91.79 8641116 1796604 596
2019-07-14 21:37:44   1068592 2064776 15236956 93.45 367760 2026396 30256192 91.79 8641292 1796584 600
2019-07-14 21:37:45   1068376 2064568 15237172 93.45 367764 2026400 30256192 91.79 8641504 1796532 604
2019-07-14 21:37:46   1068684 2064884 15236864 93.45 367764 2026404 30256192 91.79 8640680 1796532 100
2019-07-14 21:37:47   1069212 2065416 15236336 93.44 367764 2026408 30256192 91.79 8640300 1796504 108
2019-07-14 21:37:48   1069124 2065332 15236424 93.44 367764 2026412 30256192 91.79 8640408 1796508 124
2019-07-14 21:37:49   1069256 2065468 15236292 93.44 367768 2026412 30256192 91.79 8640380 1796512 128
2019-07-14 21:37:50   1069256 2065480 15236292 93.44 367772 2026420 30256192 91.79 8640596 1796516 180
2019-07-14 21:37:51   1068844 2065168 15236704 93.44 367772 2026536 30256192 91.79 8640828 1796580 184
2019-07-14 21:37:52   1068480 2064808 15237068 93.45 367772 2026540 30256192 91.79 8641016 1796584 188
2019-07-14 21:37:53   1068092 2064440 15237456 93.45 367772 2026544 30256192 91.79 8641280 1796588 196
2019-07-14 21:37:54   1064480 2060832 15241068 93.47 367776 2030056 30256192 91.79 8641220 1800100 200
2019-07-14 21:37:55   1064520 2060884 15241028 93.47 367780 2030064 30256192 91.79 8641248 1800104 236
2019-07-14 21:37:56   1068356 2064724 15237192 93.45 367780 2026380 30256192 91.79 8641328 1796412 240
2019-07-14 21:37:57   1068216 2064588 15237332 93.45 367780 2026384 30256192 91.79 8641484 1796416 244
2019-07-14 21:37:58   1068076 2064452 15237472 93.45 367780 2026388 30256192 91.79 8641780 1796420 248
2019-07-14 21:37:59   1067424 2063804 15238124 93.45 367784 2026388 30256192 91.79 8641792 1796424 256
2019-07-14 21:38:00   1037272 2033664 15268276 93.64 367792 2031028 30456740 92.40 8665304 1801260 324
2019-07-14 21:38:01   983724 2005492 15321824 93.97 368084 2059052 30581660 92.78 8694432 1823264 56
2019-07-14 21:38:02   904516 1956340 15401032 94.45 368376 2088756 30953428 93.91 8751924 1846136 108
2019-07-14 21:38:03   827264 1885864 15478284 94.93 368376 2092616 30969408 93.96 8828892 1846280 148
2019-07-14 21:38:04   949288 2030696 15356260 94.18 368376 2115320 30462456 92.42 8706248 1847900 128
2019-07-14 21:38:05   948916 2030492 15356632 94.18 368380 2115488 30462456 92.42 8706656 1847944 320
2019-07-14 21:38:06   947792 2029376 15357756 94.19 368380 2115492 30462456 92.42 8707664 1847948 340
2019-07-14 21:38:07   947420 2029012 15358128 94.19 368400 2115496 30462456 92.42 8707944 1847952 408
2019-07-14 21:38:08   947800 2029412 15357748 94.19 368400 2115500 30501224 92.54 8707356 1847948 412
2019-07-14 21:38:09   947880 2029616 15357668 94.19 368404 2115496 30501224 92.54 8707016 1848068 420
2019-07-14 21:38:10   947552 2029300 15357996 94.19 368412 2115504 30501224 92.54 8707148 1848072 468
2019-07-14 21:38:11   947768 2029520 15357780 94.19 368412 2115508 30501224 92.54 8707260 1848076 476
2019-07-14 21:38:12   949660 2031416 15355888 94.18 368412 2115512 30501224 92.54 8704700 1848080 480
2019-07-14 21:38:13   950560 2032320 15354988 94.17 368412 2115544 30501224 92.54 8703868 1848112 488
2019-07-14 21:38:14   908940 2005208 15396608 94.43 369136 2130008 30761288 93.33 8732068 1861444 496
2019-07-14 21:38:15   847092 1976388 15458456 94.80 369264 2159832 30802216 93.45 8769128 1886804 756
2019-07-14 21:38:16   788156 1934456 15517392 95.17 369324 2174452 30740124 93.26 8818280 1898016 804
2019-07-14 21:38:17   723036 1896728 15582512 95.57 371548 2199296 30892860 93.73 8859288 1920316 816
2019-07-14 21:38:18   680024 1864092 15625524 95.83 371556 2209572 30850960 93.60 8894000 1927164 824
2019-07-14 21:38:19   621180 1810324 15684368 96.19 371560 2214552 30916804 93.80 8950728 1929064 840
2019-07-14 21:38:20   600696 1793644 15704852 96.32 371572 2218284 31035612 94.16 8969552 1930832 844
2019-07-14 21:38:21   547256 1742236 15758292 96.64 371588 2219936 31188012 94.62 9025800 1926952 848
2019-07-14 21:38:22   513024 1711092 15792524 96.85 371672 2223176 31496888 95.56 9057692 1928024 984
2019-07-14 21:38:23   483576 1682092 15821972 97.03 371864 2223428 31496888 95.56 9086468 1928080 1052
2019-07-14 21:38:24   451524 1650156 15854024 97.23 371872 2223528 31613244 95.91 9117272 1927984 1056
2019-07-14 21:38:25   448488 1647372 15857060 97.25 371988 2223632 31629180 95.96 9119832 1928064 1092
2019-07-14 21:38:26   403832 1605736 15901716 97.52 372004 2226572 31645696 96.01 9163924 1929352 1156
2019-07-14 21:38:27   394100 1599388 15911448 97.58 372020 2229940 31645696 96.01 9172332 1931032 1452
2019-07-14 21:38:28   393844 1599256 15911704 97.58 372020 2230304 31645696 96.01 9172564 1931348 1552
2019-07-14 21:38:29   417524 1622912 15888024 97.44 372020 2236264 31223844 94.73 9146460 1934328 1400
2019-07-14 21:38:30   446128 1651492 15859420 97.26 372060 2236360 31062808 94.24 9127376 1926672 1476
2019-07-14 21:38:31   863412 2068700 15442136 94.70 372072 2231964 30261296 91.81 8751876 1888468 1428
2019-07-14 21:38:32   863056 2068348 15442492 94.71 372072 2232064 30261296 91.81 8751816 1888568 1436
2019-07-14 21:38:33   866208 2071504 15439340 94.69 372072 2228832 30261296 91.81 8751028 1885336 1440
2019-07-14 21:38:35   860420 2065720 15445128 94.72 372072 2234924 30253748 91.79 8751152 1891428 1460
2019-07-14 21:38:36   860296 2065600 15445252 94.72 372080 2234920 30253748 91.79 8751284 1891432 1464
2019-07-14 21:38:37   860200 2065516 15445348 94.72 372080 2234912 30253748 91.79 8751508 1891412 256
2019-07-14 21:38:38   859924 2065188 15445624 94.73 372080 2235296 30253748 91.79 8751644 1891796 272
2019-07-14 21:38:39   859684 2064948 15445864 94.73 372080 2235296 30253748 91.79 8751780 1891796 272
2019-07-14 21:38:40   866496 2071772 15439052 94.69 372088 2228576 30253748 91.79 8752108 1885076 304
2019-07-14 21:38:41   865892 2071172 15439656 94.69 372092 2228580 30253748 91.79 8752072 1885080 312
2019-07-14 21:38:42   861388 2066740 15444160 94.72 372092 2233148 30253748 91.79 8752404 1889708 332
2019-07-14 21:38:43   861924 2067284 15443624 94.71 372092 2233340 30253748 91.79 8751372 1889904 292
2019-07-14 21:38:44   862792 2068156 15442756 94.71 372092 2232624 30253748 91.79 8751532 1889188 300
2019-07-14 21:38:45   863040 2068408 15442508 94.71 372092 2232312 30253748 91.79 8751668 1888876 304
2019-07-14 21:38:46   866636 2072008 15438912 94.69 372096 2228504 30253748 91.79 8751892 1885072 308
2019-07-14 21:38:47   800752 2006172 15504796 95.09 372104 2231512 30731520 93.24 8814916 1886888 336
2019-07-14 21:38:48   723700 1929132 15581848 95.56 372104 2231516 30731520 93.24 8892544 1886360 340
2019-07-14 21:38:49   864868 2070284 15440680 94.70 372104 2228424 30249016 91.77 8769780 1868764 344
2019-07-14 21:38:50   864876 2070296 15440672 94.70 372104 2228228 30249016 91.77 8769900 1868568 348
