date time   pgpgin/s pgpgout/s fault/s majflt/s pgfree/s pgscank/s pgscand/s pgsteal/s %vmeff
2019-07-14 21:37:37   50.98 7.84 437.25 0.98 586.27 0.00 0.00 0.00 0.00
2019-07-14 21:37:38   0.00 0.00 458.42 0.00 628.71 0.00 0.00 0.00 0.00
2019-07-14 21:37:39   0.00 203.92 481.37 0.00 1172.55 0.00 0.00 0.00 0.00
2019-07-14 21:37:40   0.00 3.96 445.54 0.00 329.70 0.00 0.00 0.00 0.00
2019-07-14 21:37:41   0.00 0.00 445.54 0.00 407.92 0.00 0.00 0.00 0.00
2019-07-14 21:37:42   0.00 0.00 439.22 0.00 408.82 0.00 0.00 0.00 0.00
2019-07-14 21:37:43   0.00 0.00 484.16 0.00 368.32 0.00 0.00 0.00 0.00
2019-07-14 21:37:44   0.00 11.76 438.24 0.00 381.37 0.00 0.00 0.00 0.00
2019-07-14 21:37:45   0.00 3.96 446.53 0.00 346.53 0.00 0.00 0.00 0.00
2019-07-14 21:37:46   0.00 537.25 456.86 0.00 603.92 0.00 0.00 0.00 0.00
2019-07-14 21:37:47   0.00 0.00 2906.86 0.00 3059.80 0.00 0.00 0.00 0.00
2019-07-14 21:37:48   0.00 0.00 3529.70 0.00 3510.89 0.00 0.00 0.00 0.00
2019-07-14 21:37:49   0.00 27.72 449.50 0.00 333.66 0.00 0.00 0.00 0.00
2019-07-14 21:37:50   0.00 3.92 443.14 0.00 371.57 0.00 0.00 0.00 0.00
2019-07-14 21:37:51   110.89 605.94 868.32 0.99 899.01 0.00 0.00 0.00 0.00
2019-07-14 21:37:52   0.00 0.00 443.56 0.00 354.46 0.00 0.00 0.00 0.00
2019-07-14 21:37:53   0.00 0.00 466.67 0.00 384.31 0.00 0.00 0.00 0.00
2019-07-14 21:37:54   0.00 43.56 506.93 0.00 448.51 0.00 0.00 0.00 0.00
2019-07-14 21:37:55   0.00 3.92 444.12 0.00 340.20 0.00 0.00 0.00 0.00
2019-07-14 21:37:56   0.00 7.92 486.14 0.00 1400.99 0.00 0.00 0.00 0.00
2019-07-14 21:37:57   0.00 0.00 440.20 0.00 322.55 0.00 0.00 0.00 0.00
2019-07-14 21:37:58   0.00 0.00 467.33 0.00 412.87 0.00 0.00 0.00 0.00
2019-07-14 21:37:59   0.00 11.76 442.16 0.00 396.08 0.00 0.00 0.00 0.00
2019-07-14 21:38:00   3.96 3.96 14700.99 0.00 7817.82 0.00 0.00 0.00 0.00
2019-07-14 21:38:01   25378.22 590.10 15464.36 58.42 7349.50 0.00 0.00 0.00 0.00
2019-07-14 21:38:02   29560.40 0.00 14836.63 172.28 1604.95 0.00 0.00 0.00 0.00
2019-07-14 21:38:03   6792.08 0.00 24981.19 1.98 7633.66 0.00 0.00 0.00 0.00
2019-07-14 21:38:04   22740.59 154.46 13396.04 71.29 47799.01 0.00 0.00 0.00 0.00
2019-07-14 21:38:05   0.00 3.92 453.92 0.00 343.14 0.00 0.00 0.00 0.00
2019-07-14 21:38:06   0.00 0.00 627.72 0.00 323.76 0.00 0.00 0.00 0.00
2019-07-14 21:38:07   0.00 158.42 488.12 0.00 367.33 0.00 0.00 0.00 0.00
2019-07-14 21:38:08   0.00 0.00 822.55 0.00 878.43 0.00 0.00 0.00 0.00
2019-07-14 21:38:09   0.00 62.75 737.25 0.00 720.59 0.00 0.00 0.00 0.00
2019-07-14 21:38:10   0.00 110.89 464.36 0.00 366.34 0.00 0.00 0.00 0.00
2019-07-14 21:38:11   0.00 0.00 441.58 0.00 380.20 0.00 0.00 0.00 0.00
2019-07-14 21:38:12   0.00 0.00 483.33 0.00 1035.29 0.00 0.00 0.00 0.00
2019-07-14 21:38:13   0.00 0.00 466.67 0.00 604.90 0.00 0.00 0.00 0.00
2019-07-14 21:38:14   15112.87 0.00 15391.09 87.13 6445.54 0.00 0.00 0.00 0.00
2019-07-14 21:38:15   31623.76 138.61 20426.73 162.38 12222.77 0.00 0.00 0.00 0.00
2019-07-14 21:38:16   16558.42 63.37 16600.99 52.48 5964.36 0.00 0.00 0.00 0.00
2019-07-14 21:38:17   26859.41 0.00 14146.53 118.81 4537.62 0.00 0.00 0.00 0.00
2019-07-14 21:38:18   10117.65 0.00 10416.67 1.96 2623.53 0.00 0.00 0.00 0.00
2019-07-14 21:38:19   4792.08 0.00 15279.21 0.00 1983.17 0.00 0.00 0.00 0.00
