date time   proc/s cswch/s
2019-07-14 21:37:37   1.96 5013.73
2019-07-14 21:37:38   2.97 5416.83
2019-07-14 21:37:39   1.96 6334.31
2019-07-14 21:37:40   1.98 5049.50
2019-07-14 21:37:41   1.98 5167.33
2019-07-14 21:37:42   4.90 5371.57
2019-07-14 21:37:43   1.98 5255.45
2019-07-14 21:37:44   2.94 5735.29
2019-07-14 21:37:45   1.98 5239.60
2019-07-14 21:37:46   2.94 4992.16
2019-07-14 21:37:47   3.92 5202.94
2019-07-14 21:37:48   4.95 5391.09
2019-07-14 21:37:49   1.98 5248.51
2019-07-14 21:37:50   1.96 5311.76
2019-07-14 21:37:51   1.98 5124.75
2019-07-14 21:37:52   1.98 4978.22
2019-07-14 21:37:53   1.96 5225.49
2019-07-14 21:37:54   2.97 5811.88
2019-07-14 21:37:55   1.96 5028.43
2019-07-14 21:37:56   1.98 5147.52
2019-07-14 21:37:57   1.96 5062.75
2019-07-14 21:37:58   6.93 5753.47
2019-07-14 21:37:59   1.96 5953.92
2019-07-14 21:38:00   33.66 9231.68
2019-07-14 21:38:01   52.48 10052.48
2019-07-14 21:38:02   18.81 9890.10
2019-07-14 21:38:03   1.98 6430.69
2019-07-14 21:38:04   30.69 9485.15
2019-07-14 21:38:05   1.96 5193.14
2019-07-14 21:38:06   4.95 5155.45
2019-07-14 21:38:07   1.98 5104.95
2019-07-14 21:38:08   4.90 5358.82
2019-07-14 21:38:09   5.88 6172.55
2019-07-14 21:38:10   1.98 5034.65
2019-07-14 21:38:11   2.97 5173.27
2019-07-14 21:38:12   3.92 5110.78
2019-07-14 21:38:13   1.96 5077.45
2019-07-14 21:38:14   50.50 10680.20
2019-07-14 21:38:15   22.77 11531.68
2019-07-14 21:38:16   4.95 10444.55
2019-07-14 21:38:17   13.86 8660.40
2019-07-14 21:38:18   25.49 8707.84
2019-07-14 21:38:19   14.85 7061.39
2019-07-14 21:38:20   2.97 6956.44
2019-07-14 21:38:21   8.91 8839.60
2019-07-14 21:38:22   26.73 7727.72
2019-07-14 21:38:23   43.14 8444.12
2019-07-14 21:38:24   93.07 7725.74
2019-07-14 21:38:25   45.10 6590.20
2019-07-14 21:38:26   52.48 8559.41
2019-07-14 21:38:27   15.84 6838.61
2019-07-14 21:38:28   52.48 9333.66
2019-07-14 21:38:29   40.20 10838.24
2019-07-14 21:38:30   9.90 9286.14
2019-07-14 21:38:31   26.47 11161.76
2019-07-14 21:38:32   1.98 9004.95
2019-07-14 21:38:33   2.97 6985.15
2019-07-14 21:38:35   8.82 6881.37
2019-07-14 21:38:36   1.98 5708.91
2019-07-14 21:38:37   1.96 5584.31
2019-07-14 21:38:38   4.95 6472.28
2019-07-14 21:38:39   1.96 5531.37
2019-07-14 21:38:40   1.98 5928.71
2019-07-14 21:38:41   1.96 5416.67
2019-07-14 21:38:42   2.97 6626.73
2019-07-14 21:38:43   1.98 6857.43
2019-07-14 21:38:44   1.98 5885.15
2019-07-14 21:38:45   1.96 5138.24
2019-07-14 21:38:46   4.95 5666.34
2019-07-14 21:38:47   67.33 9516.83
2019-07-14 21:38:48   1.98 4847.52
2019-07-14 21:38:49   31.68 8123.76
2019-07-14 21:38:50   1.96 5083.33
2019-07-14 21:38:51   3.92 5330.39
2019-07-14 21:38:52   1.98 5080.20
