date time   runq-sz plist-sz ldavg-1 ldavg-5 ldavg-15 blocked
2019-07-14 21:37:37   0 2051 0.74 0.74 0.90 0
2019-07-14 21:37:38   0 2052 0.74 0.74 0.90 0
2019-07-14 21:37:39   0 2049 0.74 0.74 0.90 0
2019-07-14 21:37:40   0 2049 0.76 0.74 0.91 0
2019-07-14 21:37:41   0 2048 0.76 0.74 0.91 0
2019-07-14 21:37:42   0 2048 0.76 0.74 0.91 0
2019-07-14 21:37:43   0 2048 0.76 0.74 0.91 0
2019-07-14 21:37:44   0 2049 0.76 0.74 0.91 1
2019-07-14 21:37:45   0 2048 0.78 0.75 0.91 0
2019-07-14 21:37:46   1 2049 0.78 0.75 0.91 0
2019-07-14 21:37:47   1 2051 0.78 0.75 0.91 1
2019-07-14 21:37:48   0 2050 0.78 0.75 0.91 0
2019-07-14 21:37:49   0 2050 0.78 0.75 0.91 1
2019-07-14 21:37:50   2 2050 0.72 0.74 0.90 0
2019-07-14 21:37:51   0 2050 0.72 0.74 0.90 0
2019-07-14 21:37:52   0 2050 0.72 0.74 0.90 0
2019-07-14 21:37:53   0 2049 0.72 0.74 0.90 0
2019-07-14 21:37:54   2 2050 0.72 0.74 0.90 1
2019-07-14 21:37:55   0 2048 0.66 0.72 0.90 0
2019-07-14 21:37:56   0 2047 0.66 0.72 0.90 0
2019-07-14 21:37:57   0 2047 0.66 0.72 0.90 0
2019-07-14 21:37:58   0 2046 0.66 0.72 0.90 0
2019-07-14 21:37:59   0 2046 0.66 0.72 0.90 1
2019-07-14 21:38:00   0 2069 0.69 0.73 0.90 0
2019-07-14 21:38:01   1 2081 0.69 0.73 0.90 1
2019-07-14 21:38:02   1 2095 0.69 0.73 0.90 0
2019-07-14 21:38:03   1 2094 0.69 0.73 0.90 0
2019-07-14 21:38:04   0 2070 0.69 0.73 0.90 1
2019-07-14 21:38:05   1 2070 0.63 0.72 0.89 0
2019-07-14 21:38:06   0 2070 0.63 0.72 0.89 0
2019-07-14 21:38:07   0 2070 0.63 0.72 0.89 0
2019-07-14 21:38:08   0 2073 0.63 0.72 0.89 0
2019-07-14 21:38:09   0 2077 0.63 0.72 0.89 0
2019-07-14 21:38:10   0 2077 0.58 0.70 0.89 0
2019-07-14 21:38:11   0 2075 0.58 0.70 0.89 0
2019-07-14 21:38:12   0 2077 0.58 0.70 0.89 0
2019-07-14 21:38:13   0 2077 0.58 0.70 0.89 0
2019-07-14 21:38:14   2 2099 0.58 0.70 0.89 1
2019-07-14 21:38:15   1 2090 0.61 0.71 0.89 0
2019-07-14 21:38:16   3 2082 0.61 0.71 0.89 0
2019-07-14 21:38:17   1 2090 0.61 0.71 0.89 0
2019-07-14 21:38:18   2 2114 0.61 0.71 0.89 0
2019-07-14 21:38:19   2 2124 0.61 0.71 0.89 0
2019-07-14 21:38:20   1 2125 0.88 0.76 0.91 0
2019-07-14 21:38:21   1 2132 0.88 0.76 0.91 1
2019-07-14 21:38:22   5 2147 0.88 0.76 0.91 0
