date time   tps rtps wtps bread/s bwrtn/s
2019-07-14 21:37:37   1.96 0.98 0.98 101.96 15.69
2019-07-14 21:37:38   0.00 0.00 0.00 0.00 0.00
2019-07-14 21:37:39   17.65 0.00 17.65 0.00 407.84
2019-07-14 21:37:40   0.00 0.00 0.00 0.00 0.00
2019-07-14 21:37:41   0.99 0.00 0.99 0.00 7.92
2019-07-14 21:37:42   0.00 0.00 0.00 0.00 0.00
2019-07-14 21:37:43   0.00 0.00 0.00 0.00 0.00
2019-07-14 21:37:44   0.00 0.00 0.00 0.00 0.00
2019-07-14 21:37:45   1.98 0.00 1.98 0.00 31.68
2019-07-14 21:37:46   103.92 0.00 103.92 0.00 1074.51
2019-07-14 21:37:47   0.00 0.00 0.00 0.00 0.00
2019-07-14 21:37:48   0.00 0.00 0.00 0.00 0.00
2019-07-14 21:37:49   0.00 0.00 0.00 0.00 0.00
2019-07-14 21:37:50   1.96 0.00 1.96 0.00 62.75
2019-07-14 21:37:51   2.97 1.98 0.99 221.78 1211.88
2019-07-14 21:37:52   0.00 0.00 0.00 0.00 0.00
2019-07-14 21:37:53   0.00 0.00 0.00 0.00 0.00
2019-07-14 21:37:54   0.00 0.00 0.00 0.00 0.00
2019-07-14 21:37:55   1.96 0.00 1.96 0.00 94.12
2019-07-14 21:37:56   1.98 0.00 1.98 0.00 15.84
2019-07-14 21:37:57   0.00 0.00 0.00 0.00 0.00
2019-07-14 21:37:58   0.00 0.00 0.00 0.00 0.00
2019-07-14 21:37:59   0.00 0.00 0.00 0.00 0.00
2019-07-14 21:38:00   2.97 0.99 1.98 7.92 31.68
2019-07-14 21:38:01   400.99 324.75 76.24 50502.97 1180.20
2019-07-14 21:38:02   1489.11 1489.11 0.00 59374.26 0.00
2019-07-14 21:38:03   614.85 614.85 0.00 13584.16 0.00
2019-07-14 21:38:04   612.87 612.87 0.00 45481.19 0.00
2019-07-14 21:38:05   1.96 0.00 1.96 0.00 313.73
2019-07-14 21:38:06   0.00 0.00 0.00 0.00 0.00
2019-07-14 21:38:07   4.95 0.00 4.95 0.00 316.83
2019-07-14 21:38:08   0.00 0.00 0.00 0.00 0.00
2019-07-14 21:38:09   2.94 0.00 2.94 0.00 125.49
2019-07-14 21:38:10   2.97 0.00 2.97 0.00 221.78
2019-07-14 21:38:11   0.00 0.00 0.00 0.00 0.00
2019-07-14 21:38:12   0.00 0.00 0.00 0.00 0.00
2019-07-14 21:38:13   0.00 0.00 0.00 0.00 0.00
2019-07-14 21:38:14   457.43 457.43 0.00 30225.74 0.00
2019-07-14 21:38:15   1198.02 1195.05 2.97 63247.52 277.23
2019-07-14 21:38:16   1018.81 1015.84 2.97 33116.83 126.73
2019-07-14 21:38:17   1258.42 1258.42 0.00 53718.81 0.00
2019-07-14 21:38:18   807.84 807.84 0.00 20235.29 0.00
2019-07-14 21:38:19   353.47 353.47 0.00 9584.16 0.00
2019-07-14 21:38:20   269.31 265.35 3.96 7176.24 2740.59
2019-07-14 21:38:21   128.71 128.71 0.00 3683.17 0.00
2019-07-14 21:38:22   214.85 212.87 1.98 6392.08 324.75
2019-07-14 21:38:23   37.25 35.29 1.96 282.35 31.37
2019-07-14 21:38:24   4.95 4.95 0.00 190.10 0.00
2019-07-14 21:38:25   6.86 6.86 0.00 203.92 0.00
2019-07-14 21:38:26   174.26 174.26 0.00 5893.07 657.43
2019-07-14 21:38:27   250.50 242.57 7.92 6400.00 31.68
2019-07-14 21:38:28   69.31 0.00 69.31 0.00 293.07
2019-07-14 21:38:29   35.29 2.94 32.35 290.20 133.33
2019-07-14 21:38:30   30.69 3.96 26.73 205.94 768.32
2019-07-14 21:38:31   10.78 0.00 10.78 0.00 329.41
2019-07-14 21:38:32   0.00 0.00 0.00 0.00 0.00
2019-07-14 21:38:33   0.00 0.00 0.00 0.00 0.00
2019-07-14 21:38:35   0.00 0.00 0.00 0.00 0.00
2019-07-14 21:38:36   0.00 0.00 0.00 0.00 0.00
2019-07-14 21:38:37   132.35 0.00 132.35 0.00 2054.90
2019-07-14 21:38:38   0.00 0.00 0.00 0.00 0.00
2019-07-14 21:38:39   0.00 0.00 0.00 0.00 0.00
2019-07-14 21:38:40   1.98 0.00 1.98 0.00 63.37
2019-07-14 21:38:41   0.00 0.00 0.00 0.00 0.00
2019-07-14 21:38:42   10.89 0.00 10.89 0.00 198.02
2019-07-14 21:38:43   0.00 0.00 0.00 0.00 0.00
2019-07-14 21:38:44   0.00 0.00 0.00 0.00 0.00
2019-07-14 21:38:45   0.00 0.00 0.00 0.00 0.00
2019-07-14 21:38:46   0.00 0.00 0.00 0.00 0.00
2019-07-14 21:38:47   2.97 0.99 1.98 7.92 39.60
2019-07-14 21:38:48   0.00 0.00 0.00 0.00 0.00
2019-07-14 21:38:49   3.96 1.98 1.98 23.76 7.92
2019-07-14 21:38:50   0.00 0.00 0.00 0.00 0.00
2019-07-14 21:38:51   0.00 0.00 0.00 0.00 0.00
2019-07-14 21:38:52   4.95 0.00 4.95 0.00 277.23
2019-07-14 21:38:53   0.98 0.98 0.00 7.84 0.00
2019-07-14 21:38:54   0.00 0.00 0.00 0.00 0.00
2019-07-14 21:38:55   0.00 0.00 0.00 0.00 0.00
2019-07-14 21:38:56   0.00 0.00 0.00 0.00 0.00
2019-07-14 21:38:57   1.96 0.00 1.96 0.00 94.12
2019-07-14 21:38:58   0.00 0.00 0.00 0.00 0.00
2019-07-14 21:38:59   0.00 0.00 0.00 0.00 0.00
2019-07-14 21:39:00   0.99 0.00 0.99 0.00 63.37
2019-07-14 21:39:01   0.00 0.00 0.00 0.00 0.00
2019-07-14 21:39:02   14.00 0.00 14.00 0.00 432.00
2019-07-14 21:39:03   0.00 0.00 0.00 0.00 0.00
2019-07-14 21:39:04   0.98 0.00 0.98 0.00 117.65
2019-07-14 21:39:05   12.87 10.89 1.98 617.82 15.84
2019-07-14 21:39:06   76.47 74.51 1.96 2109.80 792.16
2019-07-14 21:39:07   120.19 118.27 1.92 5184.62 230.77
2019-07-14 21:39:08   18.81 18.81 0.00 760.40 0.00
2019-07-14 21:39:09   1.96 0.00 1.96 0.00 15.69
2019-07-14 21:39:10   0.00 0.00 0.00 0.00 0.00
2019-07-14 21:39:11   3.96 0.00 3.96 0.00 1029.70
2019-07-14 21:39:12   141.58 0.00 141.58 0.00 2011.88
2019-07-14 21:39:13   40.00 0.00 40.00 0.00 167.62
2019-07-14 21:39:14   1.94 0.00 1.94 0.00 15.53
2019-07-14 21:39:15   5.94 2.97 2.97 118.81 166.34
2019-07-14 21:39:16   1.98 0.00 1.98 0.00 895.05
2019-07-14 21:39:17   1.98 0.00 1.98 0.00 15.84
2019-07-14 21:39:18   0.00 0.00 0.00 0.00 0.00
2019-07-14 21:39:19   0.00 0.00 0.00 0.00 0.00
2019-07-14 21:39:20   0.00 0.00 0.00 0.00 0.00
2019-07-14 21:39:21   1.98 0.00 1.98 0.00 23.76
2019-07-14 21:39:22   2.97 0.00 2.97 0.00 102.97
2019-07-14 21:39:23   5.88 0.00 5.88 0.00 78.43
2019-07-14 21:39:24   0.00 0.00 0.00 0.00 0.00
2019-07-14 21:39:25   0.00 0.00 0.00 0.00 0.00
2019-07-14 21:39:26   0.00 0.00 0.00 0.00 0.00
2019-07-14 21:39:27   1.96 0.00 1.96 0.00 62.75
2019-07-14 21:39:28   0.00 0.00 0.00 0.00 0.00
2019-07-14 21:39:29   0.00 0.00 0.00 0.00 0.00
2019-07-14 21:39:30   0.00 0.00 0.00 0.00 0.00
2019-07-14 21:39:31   0.00 0.00 0.00 0.00 0.00
2019-07-14 21:39:32   8.82 6.86 1.96 94.12 31.37
2019-07-14 21:39:33   8.91 0.00 8.91 0.00 134.65
2019-07-14 21:39:34   0.00 0.00 0.00 0.00 0.00
2019-07-14 21:39:35   0.00 0.00 0.00 0.00 0.00
2019-07-14 21:39:36   0.00 0.00 0.00 0.00 0.00
2019-07-14 21:39:37   2.97 0.00 2.97 0.00 166.34
2019-07-14 21:39:38   47.06 0.00 47.06 0.00 16909.80
2019-07-14 21:39:39   2.94 0.00 2.94 0.00 580.39
2019-07-14 21:39:40   0.00 0.00 0.00 0.00 0.00
2019-07-14 21:39:42   0.00 0.00 0.00 0.00 0.00
2019-07-14 21:39:43   0.00 0.00 0.00 0.00 0.00
2019-07-14 21:39:44   34.31 0.98 33.33 7.84 478.43
2019-07-14 21:39:45   1.98 0.00 1.98 0.00 205.94
2019-07-14 21:39:46   0.00 0.00 0.00 0.00 0.00
2019-07-14 21:39:47   0.00 0.00 0.00 0.00 0.00
2019-07-14 21:39:48   0.00 0.00 0.00 0.00 0.00
2019-07-14 21:39:49   129.70 0.00 129.70 0.00 18067.33
2019-07-14 21:39:50   0.00 0.00 0.00 0.00 0.00
2019-07-14 21:39:51   1.98 0.00 1.98 0.00 134.65
2019-07-14 21:39:52   0.00 0.00 0.00 0.00 0.00
2019-07-14 21:39:53   0.00 0.00 0.00 0.00 0.00
2019-07-14 21:39:54   1.96 0.00 1.96 0.00 15.69
2019-07-14 21:39:55   0.00 0.00 0.00 0.00 0.00
2019-07-14 21:39:56   1.96 0.00 1.96 0.00 31.37
2019-07-14 21:39:57   0.00 0.00 0.00 0.00 0.00
2019-07-14 21:39:58   3.96 3.96 0.00 79.21 0.00
2019-07-14 21:39:59   0.00 0.00 0.00 0.00 0.00
2019-07-14 21:40:00   0.00 0.00 0.00 0.00 0.00
2019-07-14 21:40:01   1.96 0.00 1.96 0.00 23.53
2019-07-14 21:40:02   0.00 0.00 0.00 0.00 0.00
2019-07-14 21:40:03   0.00 0.00 0.00 0.00 0.00
2019-07-14 21:40:04   9.90 0.00 9.90 0.00 142.57
2019-07-14 21:40:05   1.98 0.00 1.98 0.00 7.92
2019-07-14 21:40:06   1.96 0.00 1.96 0.00 156.86
2019-07-14 21:40:07   0.00 0.00 0.00 0.00 0.00
2019-07-14 21:40:08   1.98 0.00 1.98 0.00 102.97
2019-07-14 21:40:09   2.94 0.00 2.94 0.00 31.37
2019-07-14 21:40:10   0.00 0.00 0.00 0.00 0.00
2019-07-14 21:40:11   1.96 0.00 1.96 0.00 141.18
2019-07-14 21:40:12   0.00 0.00 0.00 0.00 0.00
2019-07-14 21:40:13   0.00 0.00 0.00 0.00 0.00
2019-07-14 21:40:14   29.41 0.00 29.41 0.00 541.18
2019-07-14 21:40:15   0.00 0.00 0.00 0.00 0.00
2019-07-14 21:40:16   3.00 0.00 3.00 0.00 272.00
2019-07-14 21:40:17   0.00 0.00 0.00 0.00 0.00
2019-07-14 21:40:18   0.00 0.00 0.00 0.00 0.00
2019-07-14 21:40:19   0.00 0.00 0.00 0.00 0.00
2019-07-14 21:40:20   2.91 0.00 2.91 0.00 46.60
2019-07-14 21:40:21   4.95 1.98 2.97 15.84 411.88
2019-07-14 21:40:22   0.00 0.00 0.00 0.00 0.00
2019-07-14 21:40:23   1.98 0.00 1.98 0.00 63.37
2019-07-14 21:40:24   40.20 0.00 40.20 0.00 462.75
2019-07-14 21:40:25   0.00 0.00 0.00 0.00 0.00
2019-07-14 21:40:26   24.75 22.77 1.98 182.18 530.69
2019-07-14 21:40:27   0.00 0.00 0.00 0.00 0.00
2019-07-14 21:40:28   15.69 0.00 15.69 0.00 180.39
2019-07-14 21:40:29   81.19 0.00 81.19 0.00 340.59
2019-07-14 21:40:30   11.88 0.00 11.88 0.00 47.52
2019-07-14 21:40:31   3.00 0.00 3.00 0.00 392.00
2019-07-14 21:40:32   0.00 0.00 0.00 0.00 0.00
2019-07-14 21:40:33   1.98 0.00 1.98 0.00 63.37
2019-07-14 21:40:34   9.80 0.00 9.80 0.00 156.86
2019-07-14 21:40:35   0.00 0.00 0.00 0.00 0.00
2019-07-14 21:40:36   1.98 0.00 1.98 0.00 221.78
2019-07-14 21:40:37   0.00 0.00 0.00 0.00 0.00
2019-07-14 21:40:38   0.00 0.00 0.00 0.00 0.00
2019-07-14 21:40:39   4.90 0.00 4.90 0.00 156.86
2019-07-14 21:40:40   0.99 0.00 0.99 0.00 1211.88
2019-07-14 21:40:41   2.94 0.98 1.96 7.84 125.49
2019-07-14 21:40:42   0.00 0.00 0.00 0.00 0.00
2019-07-14 21:40:43   0.00 0.00 0.00 0.00 0.00
2019-07-14 21:40:44   30.69 0.00 30.69 0.00 570.30
2019-07-14 21:40:45   1.96 0.00 1.96 0.00 62.75
2019-07-14 21:40:46   0.00 0.00 0.00 0.00 0.00
2019-07-14 21:40:47   0.00 0.00 0.00 0.00 0.00
2019-07-14 21:40:48   0.00 0.00 0.00 0.00 0.00
2019-07-14 21:40:49   0.99 0.00 0.99 0.00 15.84
2019-07-14 21:40:50   14.85 0.00 14.85 0.00 253.47
2019-07-14 21:40:51   0.00 0.00 0.00 0.00 0.00
2019-07-14 21:40:52   0.00 0.00 0.00 0.00 0.00
2019-07-14 21:40:54   0.00 0.00 0.00 0.00 0.00
2019-07-14 21:40:55   69.31 0.00 69.31 0.00 958.42
2019-07-14 21:40:56   0.00 0.00 0.00 0.00 0.00
2019-07-14 21:40:57   1.96 0.00 1.96 0.00 125.49
2019-07-14 21:40:58   0.00 0.00 0.00 0.00 0.00
2019-07-14 21:40:59   0.00 0.00 0.00 0.00 0.00
2019-07-14 21:41:00   0.00 0.00 0.00 0.00 0.00
2019-07-14 21:41:01   8.82 0.00 8.82 0.00 94.12
2019-07-14 21:41:02   4.95 2.97 1.98 39.60 31.68
2019-07-14 21:41:03   0.00 0.00 0.00 0.00 0.00
2019-07-14 21:41:04   0.00 0.00 0.00 0.00 0.00
2019-07-14 21:41:05   2.97 0.00 2.97 0.00 79.21
2019-07-14 21:41:06   0.00 0.00 0.00 0.00 0.00
2019-07-14 21:41:07   2.97 0.99 1.98 7.92 55.45
2019-07-14 21:41:08   0.00 0.00 0.00 0.00 0.00
2019-07-14 21:41:09   0.00 0.00 0.00 0.00 0.00
2019-07-14 21:41:10   0.00 0.00 0.00 0.00 0.00
2019-07-14 21:41:11   1.98 0.00 1.98 0.00 118.81
2019-07-14 21:41:12   2.00 0.00 2.00 0.00 184.00
2019-07-14 21:41:13   1.96 0.00 1.96 0.00 7.84
2019-07-14 21:41:14   0.00 0.00 0.00 0.00 0.00
2019-07-14 21:41:15   0.00 0.00 0.00 0.00 0.00
2019-07-14 21:41:16   0.00 0.00 0.00 0.00 0.00
2019-07-14 21:41:17   1.98 0.00 1.98 0.00 87.13
2019-07-14 21:41:18   0.00 0.00 0.00 0.00 0.00
2019-07-14 21:41:19   0.00 0.00 0.00 0.00 0.00
2019-07-14 21:41:20   0.00 0.00 0.00 0.00 0.00
2019-07-14 21:41:21   0.00 0.00 0.00 0.00 0.00
2019-07-14 21:41:22   1.98 0.00 1.98 0.00 102.97
2019-07-14 21:41:23   0.00 0.00 0.00 0.00 0.00
2019-07-14 21:41:24   5.94 4.95 0.99 39.60 63.37
2019-07-14 21:41:25   0.00 0.00 0.00 0.00 0.00
2019-07-14 21:41:26   16.83 0.00 16.83 0.00 1988.12
2019-07-14 21:41:27   0.00 0.00 0.00 0.00 0.00
2019-07-14 21:41:28   0.98 0.00 0.98 0.00 117.65
2019-07-14 21:41:29   0.00 0.00 0.00 0.00 0.00
2019-07-14 21:41:30   0.00 0.00 0.00 0.00 0.00
2019-07-14 21:41:31   72.28 0.00 72.28 0.00 1227.72
2019-07-14 21:41:32   0.00 0.00 0.00 0.00 0.00
2019-07-14 21:41:33   0.00 0.00 0.00 0.00 0.00
2019-07-14 21:41:34   0.00 0.00 0.00 0.00 0.00
2019-07-14 21:41:35   40.20 0.00 40.20 0.00 188.24
2019-07-14 21:41:36   82.18 0.99 81.19 7.92 1053.47
2019-07-14 21:41:37   0.00 0.00 0.00 0.00 0.00
2019-07-14 21:41:38   2.94 0.00 2.94 0.00 164.71
2019-07-14 21:41:39   0.00 0.00 0.00 0.00 0.00
2019-07-14 21:41:40   0.00 0.00 0.00 0.00 0.00
2019-07-14 21:41:41   0.00 0.00 0.00 0.00 0.00
2019-07-14 21:41:42   1.96 0.00 1.96 0.00 274.51
2019-07-14 21:41:43   0.00 0.00 0.00 0.00 0.00
2019-07-14 21:41:44   0.98 0.00 0.98 0.00 368.63
2019-07-14 21:41:45   0.00 0.00 0.00 0.00 0.00
